uf;localidade;CEP;expr.;rodo;tarifa;frap;distribuidor;redespacho
MG;TAPIRAI;38980000; 06; 07;Interior;Sim;CO LAGOA DA PRATA 01;
MG;TAQUARACU DE MINAS;33980000; 03; 04;Interior;Sim;CO SANTA LUZIA 01;
MG;TARUMIRIM;35140000; 04; 05;Interior;Nao;CO GOV VALADARES 01;
MG;TEBAS;36702000; 03; 04;Interior;Nao;CO JUIZ DE FORA 01;
MG;TEIXEIRAS;36580000; 03; 04;Interior;Sim;CO VICOSA 02;
MG;TEOFILO OTONI;39800000 a 39805999; 02; 03;Capital;Sim;CO TEOFILO OTONI 01;
MG;TIMOTEO;35180000 a 35184999; 02; 03;Capital;Sim;CO TIMOTEO 01;
MG;TIRADENTES;36325000; 02; 03;Capital;Sim;CO BARBACENA 01;
MG;TIROS;38880000; 02; 03;Interior;Sim;CO SAO GOTARDO 01;
MG;TOCANTINS;36512000; 04; 05;Interior;Sim;CO UBA 01;
